Date,IBOV,Carteira,Markowitz,Selic
2025-07-02,115755.25494276783,126705.41938153148,124825.77058498711,106536.77943518678
2025-07-03,117317.79396462008,129170.3034291203,127167.02870619259,106595.5142270572
2025-07-04,117775.65036420383,128009.27521395555,126062.75700522725,106654.28140000573
2025-07-07,116120.7075962538,125551.21404507908,123718.61170457747,106713.08097188437
2025-07-08,115965.0364203953,125470.6634152764,123239.54746099963,106771.912960555
2025-07-09,114448.28303850145,124263.85559804356,121715.24781523901,106830.77738388929
2025-07-10,113833.92299687813,123682.14351932981,121915.29084073831,106889.67425976881
2025-07-11,113371.071800208,122920.77445711565,121790.0237759914,106948.60360608497
2025-07-14,112631.8418314255,122661.39135689025,121352.43144319057,107007.56544073905
2025-07-15,112591.05098855348,122179.70008775062,120548.12961950024,107066.55978164221
2025-07-16,112808.3246618105,121857.62468828601,119851.17942532679,107125.58664671543
2025-07-17,112853.27783558783,122083.63912049285,119637.85994241043,107184.64605388965
2025-07-18,111036.00416233082,120684.61294899863,119337.51679397895,107243.73802110563
2025-07-21,111689.490114464,122889.59205213915,120754.22848446475,107302.86256631406
2025-07-22,111580.43704474496,122025.79608223925,119731.26096195383,107362.0197074755
2025-07-23,112689.28199791875,123514.94484173338,121444.92264836073,107421.20946256044
2025-07-24,111390.63475546298,122142.84540149927,121008.44422619938,107480.43184954925
2025-07-25,111154.21436004154,121633.32053187152,120737.28782784838,107539.68688643223
2025-07-28,109992.92403746088,120615.98318967367,120139.46977602092,107598.9745912096
2025-07-29,110489.90634755454,121034.25484556881,120791.99267196067,107658.29498189148
2025-07-30,111542.14360041614,121712.29947242628,121135.36505531338,107717.64807649795
2025-07-31,110777.10718002071,120088.78427730121,120392.25136101419,107777.03389305902
2025-08-01,110249.32362122778,119942.6383848344,120193.62928948145,107836.45244961462
2025-08-04,110693.86056191457,120273.21500238449,120167.69872804238,107895.90376421463
2025-08-05,110843.70447450562,120143.38974325445,120006.82475622895,107955.3878549189
2025-08-06,111998.33506763779,122030.93571466806,121097.23827300045,108014.9047397972
2025-08-07,113654.94276794996,122341.71208425918,121311.51468041995,108074.45443692931
2025-08-08,113142.9760665972,120298.03394676733,120581.16968286384,108134.03696440495
2025-08-11,112901.5608740894,119189.40337394335,120166.44818654079,108193.65234032381
2025-08-12,114808.74089490106,120497.75977374497,121171.87184134324,108253.30058279556
2025-08-13,113787.30489073871,118979.24961760342,120557.38078309754,108312.98170993988
2025-08-14,113511.7585848074,118192.7173635512,119507.12175531952,108372.69573988639
2025-08-15,113499.27159209148,118262.73043075475,119274.13734813147,108432.44269077477
2025-08-18,114315.9209157127,118817.85409729027,120320.26918746466,108492.22258075462
2025-08-19,111910.09365244527,117052.64613982663,118851.82703473506,108552.03542798561
2025-08-20,112105.72320499468,117379.50780212364,119565.75488019813,108611.88125063744
2025-08-21,111975.85848074908,116716.1250178059,118994.61452480932,108671.76006688972
2025-08-22,114853.69406867833,118637.81455300655,120646.39575297303,108731.67189493221
2025-08-25,114901.14464099883,118803.38223130106,121201.2897101857,108791.6167529646
2025-08-26,114689.69823100926,118035.42007342362,120477.56777018898,108851.5946591967
2025-08-27,115884.28720083238,119296.63193673032,121094.78194289071,108911.60563184827
2025-08-28,117418.52237252852,120574.43604190981,122177.5822277028,108971.64968914918
2025-08-29,117729.03225806441,120567.94083898183,121815.93870750099,109031.72684933933
2025-09-01,117481.78980228919,120625.59801372915,121442.37789153865,109091.83713066866
2025-09-02,116824.1415192507,120093.03745913583,121041.49553411314,109151.98055139717
2025-09-03,116432.04994797077,119764.96709634241,120563.38731918701,109212.15712979497
2025-09-04,117371.90426638906,120324.25190408983,121360.36541684305,109272.36688414222
2025-09-05,118742.97606659716,121071.2837931248,121678.35044661912,109332.60983272913
2025-09-08,118037.0447450571,119968.05363417714,120897.20803695274,109392.88599385602
2025-09-09,117892.1956295524,120306.8009850743,121473.35964901249,109453.19538583329
2025-09-10,118500.72840790826,121447.43946940062,122389.32919322101,109513.53802698148
2025-09-11,119168.36628511948,121440.44553429227,122051.49713107721,109573.91393563114
2025-09-12,118436.62851196653,121067.87793758891,121758.42478618615,109634.323130123
2025-09-15,119498.02289281979,121550.50934213649,122215.90232693378,109694.76562880789
2025-09-16,119926.74297606641,122542.61160635824,122161.14707110182,109755.24145004671
2025-09-17,121202.08116545247,123102.44665413912,123004.29569144608,109815.75061221054
2025-09-18,121123.82934443271,123446.07489208438,123154.28094865027,109876.29313368056
2025-09-19,121427.67950052011,123680.2691422214,122983.49497280832,109936.86903284812
2025-09-22,120798.3350676377,122475.77986766945,122600.21266575452,109997.47832811462
2025-09-23,121893.86056191451,122735.50074087834,123543.42094113874,110058.1210378917
2025-09-24,121949.63579604564,123212.60283079577,123742.935822383,110118.79718060112
2025-09-25,120962.33090530681,121784.60425360462,122132.61178994132,110179.50677467477
2025-09-26,121079.70863683645,121648.68927401533,121621.41744852973,110240.24983855472
2025-09-29,121820.6035379811,122433.035945791,122791.22700903076,110301.02639069321
2025-09-30,121737.35691987495,121204.54941685351,122623.7365063271,110361.83644955269
2025-10-01,121137.98126951074,120796.00977323552,121942.1285698893,110422.68003360569
2025-10-02,119833.50676378755,119823.59740670494,121047.33025435501,110483.55716133502
2025-10-03,120042.45577523396,119283.04900148454,120525.07726529114,110544.46785123364
2025-10-06,119548.80332986455,118004.36061794605,119389.10724957923,110605.41212180471
2025-10-07,117674.08949011429,116182.52820041322,118286.19875235655,110666.38999156158
2025-10-08,118330.90530697172,115983.89283746578,117856.36548799703,110727.40147902785
2025-10-09,117967.1175858479,115699.19434131648,117557.46727119216,110788.44660273725
2025-10-10,117111.34235171678,115647.80925949091,117478.2702411269,110849.52538123382
2025-10-13,118029.55254942749,116781.3043347928,118474.60600977224,110910.63783307176
2025-10-14,117946.30593132135,115568.22312520002,117185.2503146787,110971.78397681551
2025-10-15,118713.00728407888,115201.09278317529,116871.44948922111,111032.96383103977
2025-10-16,118376.69094693009,115044.72282625051,116617.60160832654,111094.17741432948
2025-10-17,119374.8178980227,115943.27804469768,117398.23607115554,111155.42474527977
2025-10-20,120298.85535900082,115117.27071520303,117358.56167827075,111216.7058424961
2025-10-21,119945.88969823079,114969.80380588706,116681.21488643266,111278.02072459414
