Date,IBOV,Carteira,Markowitz,Selic
2025-10-08,118330.90530697172,135280.98576345926,127647.29130852409,110727.40147902785
2025-10-09,117967.1175858479,134372.7044477887,127097.28561689766,110788.44660273725
2025-10-10,117111.34235171678,134192.20914917847,127082.41961602682,110849.52538123382
2025-10-13,118029.55254942749,135341.73357290868,127965.21832163644,110910.63783307176
2025-10-14,117946.30593132135,135681.96073635464,127897.45197016723,110971.78397681551
2025-10-15,118713.00728407888,137594.8752482321,128764.53698021843,111032.96383103977
2025-10-16,118376.69094693009,137194.3626270375,128326.77838092628,111094.17741432948
2025-10-17,119374.8178980227,138555.51624666248,129618.52446642537,111155.42474527977
2025-10-20,120298.85535900082,139769.29147824514,130286.93784176007,111216.7058424961
2025-10-21,119945.88969823079,140015.88581453197,130258.41541747916,111278.02072459414
2025-10-22,120601.87304890717,139862.37307575304,130582.30479224611,111339.36941019981
2025-10-23,121307.80437044724,140662.5245107812,131442.97165704367,111400.75191794935
2025-10-24,121683.24661810594,140954.32052361986,131908.86370799542,111462.16826648924
2025-10-27,122346.72216441187,141692.48413321393,132712.24706394068,111523.61847447624
2025-10-28,122729.6566077001,140546.93421027908,132998.49217117237,111585.10256057743
2025-10-29,123731.945889698,142003.69206091473,133976.71397409274,111646.62054347013
2025-10-30,123854.31841831403,142246.37495168348,133998.55029704078,111708.17244184195
2025-10-31,124486.99271592067,141994.9354304503,132823.22042470574,111769.75827439086
2025-11-03,125247.86680541078,142261.79681348335,134274.34128229608,111831.37805982513
2025-11-04,125455.98335067614,142856.5988142975,134678.90711409593,111893.0318168633
2025-11-05,127612.07075962515,147095.80253234872,135791.43543483297,111954.71956423426
2025-11-06,127649.53173777291,145414.22367257258,136582.7634696295,112016.44132067723
2025-11-07,128253.06971904243,145406.90879556324,136743.26461658048,112078.19710494173
2025-11-10,129246.20187304867,146693.80473740803,137442.8568355097,112139.98693578766
2025-11-11,131320.70759625366,151074.12725129028,139697.1653834661,112201.81083198523
2025-11-12,131224.14151925052,151742.90562208658,141085.05706368867,112263.66881231502
2025-11-13,130832.04994797059,151188.19342655613,141434.64395346207,112325.56089556795
2025-11-14,131312.38293444304,152648.00102026816,142300.15227382464,112387.48710054529
2025-11-17,130691.36316337122,152534.7624781287,144744.8122244319,112449.4474460587
2025-11-18,130299.27159209129,152375.54616803367,144386.61300134865,112511.4419509302
2025-11-19,129349.42767950024,150159.44412004633,143394.83041996154,112573.47063399217
2025-11-21,128840.79084287172,149897.43591606346,142882.57472839995,112635.5335140874
2025-11-24,129263.6836628509,151679.3048332238,143733.94523927002,112697.63061006906
2025-11-25,129789.8022892817,153020.8176164086,144835.61309591326,112759.7619408007
2025-11-26,131991.67533818906,155139.1424125767,146424.36353308483,112821.9275251563
2025-11-27,131772.73673256993,155957.94565320225,148469.24453078923,112884.1273820202
2025-11-28,132422.06035379783,155349.96470562805,149707.48271883637,112946.36153028719
2025-12-01,132038.2934443285,153062.36353083776,148595.42330127236,113008.62998886245
2025-12-02,134103.64203954182,154936.37775941854,149011.12638823318,113070.93277666162
2025-12-03,134655.5671175855,153812.07392281856,149004.3428184529,113133.26991261075
2025-12-04,136904.05827263233,153181.74947402332,150031.9642653357,113195.64141564629
2025-12-05,131004.37044745023,145696.05921198198,147196.04188792597,113258.04730471516
2025-12-08,131685.32778355846,146096.49750963,148217.30601749403,113320.48759877474
2025-12-09,131513.8397502598,145725.19840304108,147847.35301499904,113382.96231679281
2025-12-10,132424.55775234097,146195.62503268628,149558.5710250431,113445.47147774768
2025-12-11,132519.45889698196,147019.84150860587,150902.111649453,113508.0151006281
2025-12-12,133832.25806451577,147973.32104031058,151652.14683573812,113570.59320443323
2025-12-15,135260.77003121714,150270.5909959723,154591.48328978685,113633.20580817277
2025-12-16,132010.82206035344,145898.41240224798,152397.98843433877,113695.85293086688
2025-12-17,130969.40686784564,143826.6259282708,151715.45916450847,113758.53459154621
2025-12-18,131465.55671175822,142933.42173953084,150872.64172681465,113821.2508092519
2025-12-19,131923.41311134197,143438.33446672297,150852.16711286377,113884.00160303556
2025-12-22,131647.86680541065,141462.77586362796,150693.1499635595,113946.78699195932
2025-12-23,133574.1935483867,144661.3471951708,151620.1733320665,114009.60699509588
2025-12-24,,,,114072.46163152835
2025-12-26,133941.31113423477,145524.95205678,153161.90651186908,114135.35092035044
2025-12-29,134104.8517169611,145570.41038004466,153285.96362729112,
